symbol	TCGA-91-6840	TCGA-78-8655	TCGA-NJ-A7XG	TCGA-38-4625	TCGA-38-4627	TCGA-85-A4QQ	TCGA-56-8628	TCGA-63-A5M9	TCGA-77-8128	TCGA-34-5231
TSPAN6	4836	3364	5157	10139	10707	1784	3344	5313	3445	6578
TNMD	3	0	0	0	3	0	2	0	0	1
DPM1	1409	900	1439	6725	2014	2615	1143	3034	2161	3809
SCYL3	546	988	1016	1173	724	613	581	1013	848	2016
C1orf112	437	281	295	2273	377	644	296	1882	761	1754
FGR	409	841	157	1879	1188	406	2013	730	175	664
CFH	998	6419	10604	4530	13832	614	1967	7623	982	3178
FUCA2	2986	1222	1218	17205	5920	1466	2229	3132	2117	2259
GCLC	761	501	143	13163	3128	2501	3578	18464	14754	12256
NFYA	2590	1587	1769	2438	1931	1952	1403	2200	1112	4405
STPG1	593	210	458	1020	703	1247	1062	882	1047	1221
NIPAL3	817	591	3152	4147	2029	1883	2398	2054	1276	3738
LAS1L	1622	1404	3061	6635	2469	2447	1488	4201	3052	7719
ENPP4	4302	1667	2286	1095	2328	251	505	556	110	488
SEMA3F	2589	983	1082	2094	1871	3862	4188	8983	6112	9973
CFTR	165	2184	3529	899	1156	64	777	102	27	104
ANKIB1	1313	2163	2141	6266	4371	7475	2123	2348	3670	8497
CYP51A1	77	167	235	653	483	1164	438	285	495	828
KRIT1	852	842	1282	3942	1325	4381	1543	1912	2752	5549
RAD52	364	198	477	683	174	380	335	865	707	1308
MYH16	3	22	15	295	3	60	22	29	14	381
BAD	1273	1461	2787	2957	3091	2235	1982	1103	2154	5014
LAP3	4920	3493	3386	19621	8136	2889	3930	5037	1980	8383
CD99	2262	5868	5219	13489	27230	9812	24142	7120	9975	20102
HS3ST1	187	2205	5802	1080	5309	309	989	364	57	250
AOC1	1455	101	6686	40	5228	17	68	26	7	84
WNT16	2	2	21	130	12	9	16	109	4	19
HECW1	44	14	25	209	369	63	50	35	121	174
MAD1L1	736	1356	1345	2573	1451	3541	1531	1339	1899	7792
LASP1	14446	8611	14702	29428	25210	11211	8293	12286	10575	19939
SNX11	536	1669	870	3694	2106	1233	770	1811	1405	2474
TMEM176A	541	1353	8756	3403	7393	373	2957	1701	406	1767
M6PR	1747	2912	3365	15301	6617	3543	3427	10611	5839	12055
KLHL13	144	26	24	40	253	23	272	2395	1975	2343
CYP26B1	28	64	40	1812	329	726	325	218	826	283
ICA1	1090	2684	1787	2692	1159	74	735	1675	190	906
DBNDD1	1324	1636	1445	2874	1362	335	639	82	1685	915
ALS2	920	956	1268	2176	1364	1661	1180	2251	2108	3362
CASP10	999	1280	1774	1710	2161	272	1373	1455	184	2286
CFLAR	3977	4860	8021	14306	4208	6713	7100	5133	2218	7182
TFPI	1102	4540	22875	10386	8505	180	3387	1667	590	1751
NDUFAF7	282	530	818	1217	588	476	487	1884	589	1196
RBM5	1900	3844	5869	4667	1884	3646	3379	4740	2610	4719
MTMR7	339	49	57	110	52	28	50	103	31	133
SLC7A2	4073	178	2673	525	1108	157	350	411	92	3348
ARF5	2641	6921	6786	20124	8791	10201	5894	5490	13976	14554
SARM1	175	140	711	186	473	65	285	141	458	414
POLDIP2	3828	3517	6104	22465	7635	6288	2833	7992	8224	18753
PLXND1	8297	36126	17994	7768	13719	3505	7275	4046	3670	4587
AK2	3252	2376	7476	26971	6568	8380	3751	5135	2686	7600
CD38	499	239	525	1955	335	76	1464	623	400	2337
FKBP4	2186	3506	3853	22785	4210	9615	3629	14306	20183	41813
KDM1A	4172	1628	3146	8381	4472	6416	4518	4964	4797	12202
RBM6	2173	2598	5120	5077	1124	2527	2919	3817	2046	5947
CAMKK1	163	447	1050	348	302	1413	403	613	1218	1823
RECQL	564	632	499	3889	2362	1581	1116	2877	2369	3835
VPS50	507	990	960	3481	1454	2502	766	843	759	2514
HSPB6	312	106	20	664	1091	23	449	75	202	260
ARHGAP33	328	194	759	426	61	890	731	3379	420	1200
NDUFAB1	1206	1378	2258	6267	3551	2396	1294	4388	2271	4970
PDK4	663	574	1326	2474	3702	88	1164	1363	87	313
SLC22A16	4	3	1	59	26	5	34	45	2	0
ZMYND10	266	27	336	105	542	460	195	27	35	491
ABCB5	2	0	4	5	21	5	28	34	2	983
ARX	71	7	102	6	121	4	38	3	2	26
SLC25A13	1225	762	982	4129	1752	1478	857	1106	3181	2006
ST7	898	970	2037	4639	2145	1501	1306	1191	1333	4271
CDC27	1887	1684	1946	8496	4799	2943	1783	4734	3474	8621
SLC4A1	4	4	2	7	28	1	13	1	1	346
CALCR	10	7	1	17	63	3	11	4	8	9
HCCS	873	660	485	5034	1418	1027	842	1088	1250	2443
DVL2	888	1347	2582	5923	2086	2153	1687	3843	3485	4731
PRSS22	4259	2042	3773	2930	597	979	1690	5044	330	198
UPF1	5349	5756	7653	9531	5345	11147	5109	12223	9219	22056
SKAP2	630	2532	1420	23383	4802	1882	2088	4275	1545	4049
SLC25A5	8412	10220	17333	59237	19614	26985	7045	27901	20249	48368
MCUB	452	682	616	5044	1747	956	924	1012	689	2383
HOXA11	25	4	3	6	24	62	84	74	115	969
POLR2J	547	1633	1398	3722	1881	1981	1184	1951	2247	4056
DHX33	583	642	1523	2907	1135	1359	706	1753	2135	3700
MEOX1	23	13	4	45	209	101	83	56	24	117
THSD7A	88	177	177	217	470	28	111	875	133	174
LIG3	1104	705	945	3921	1139	1844	981	3856	2914	6691
RPAP3	1267	1084	1363	3269	1405	1494	1155	3907	2260	4370
ACSM3	1182	202	945	454	334	31	353	228	52	117
AC004381.6	187	92	94	600	165	175	144	731	442	566
CIAPIN1	1404	1450	3276	4314	3451	2193	1882	3753	2986	3544
SPPL2B	1680	1533	4048	4676	1827	3627	3560	3106	3580	4562
